Scientific Name,Common Name,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Status,C,W
Achillea millefolium,Yarrow,,,,,,1,1,,,1,3
Campanula rotundifolia,Harebell / Bluebell Bellflower,,,,1,1,1,1,,,6,3
Cirsium pitcheri,Pitcher's Thistle,,,,,,,,,T,10,5
Clinopodium arkansanum,Limestone Calamint,,,,,1,,,,,10,-3
Coreopsis lanceolata,Lanceleaf Coreopsis / Sand Coreopsis,,,,1,1,,,,,8,3
Euthamia graminifolia,Grass-Leaved Goldenrod,,,,,,1,1,1,,3,0
Lespedeza capitata,Round-headed Bush Clover,,,,,,1,1,1,,5,3
Solidago ohioensis,Ohio Goldenrod,,,,,,,1,1,,8,-5
Tanacetum bipinnatum,Lake Huron Tansy,,,,1,1,,,,T,10,3
